All device pins and their pinmux options
Pin,Name, Selected Mode, Used By,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,GPIO29,,,GPIO29,SCIA_TX,,EPWM7_B,GPIO29,OUTPUTXBAR6,EQEP1_B,,GPIO29,EQEP2_INDEX,LINA_RX,SPIB_PTE,GPIO29,ERRORSTS,I2CB_SCL,
2,A16/ B16/ C16/ GPIO28,,,GPIO28,SCIA_RX,,EPWM7_A,GPIO28,OUTPUTXBAR5,EQEP1_A,,GPIO28,EQEP2_STROBE,LINA_TX,SPIB_CLK,GPIO28,ERRORSTS,I2CB_SDA,
3,XRSn,XRSn,XRSn
4,VDD,VDD,VDD
5,VSS,VSS,VSS
6,A6/ D14/ E14/ GPIO228,,,GPIO228,EPWM10_A,,ADCSOCAO,GPIO228,MCANA_TX,SPIA_POCI,,GPIO228,EPWM2_B,,EQEP1_B,GPIO228,ADCE_EXTMUXSEL0,,
7,B2/ C6/ E12/ GPIO226,,,GPIO226,EPWM10_B,,LINA_RX,GPIO226,EPWM6_A,SPIA_CLK,,GPIO226,EPWM1_B,,EQEP1_STROBE,GPIO226,ADCE_EXTMUXSEL1,SCIC_RX,
8,A3/ B3/ PGA2_INP/ C5/ GPIO242,,,GPIO242,EPWM11_A,,,GPIO242,OUTPUTXBAR2,SPIA_PTE,,GPIO242,EPWM4_A,MCANA_RX,EQEP1_INDEX,GPIO242,ADCE_EXTMUXSEL2,,
9,A2/ B6/ C9/ PGA1_INP/ GPIO224,,,GPIO224,EPWM11_B,,,GPIO224,OUTPUTXBAR3,SPIA_PICO,,GPIO224,EPWM1_A,MCANA_TX,EQEP1_A,GPIO224,ADCE_EXTMUXSEL3,SCIC_TX,
10,A15/ B9/ C7/ PGA1_INM,,,AIO233,,,,,,,,,,,,,,,
11,A14/ B14/ C4/ PGA1_OUT,,,AIO239,,,,,,,,,,,,,,,
12,A11/ B10/ C0/ PGA2_OUT,,,AIO237,,,,,,,,,,,,,,,
13,A5/ B12/ C2/ PGA2_INM,,,AIO244,,,,,,,,,,,,,,,
14,A1/ B7/ D11/ CMP1_DACL,,,AIO232,,,,,,,,,,,,,,,
15,A0/ B15/ C15/ DACA_OUT,,,AIO231,,,,,,,,,,,,,,,
16,D20/ E20/ VREFHI,,,AIO234,,,,,,,,,,,,,,,
17,A13/ B13/ C13/ D13/ E13/ VREFLO,,,AIO235,,,,,,,,,,,,,,,
18,A12/ C1/ E11/ PGA3_INP,,,AIO238,,,,,,,,,,,,,,,
18,A12/ C1/ E11/ PGA3_INP,,,AIO248,,,,,,,,,,,,,,,
19,A7/ B30/ C3/ D12/ E30/ PGA3_INM,,,AIO245,,,,,,,,,,,,,,,
20,A8/ B0/ C11/ PGA3_OUT,,,AIO241,,,,,,,,,,,,,,,
21,VSSA,VSSA,VSSA
22,VDDA,VDDA,VDDA
23,A4/ B8/ C14,,,AIO225,,,,,,,,,,,,,,,
24,A9/ B4/ C8/ GPIO227/ GPIO236,,,GPIO227,I2CB_SCL,,EPWM3_A,GPIO227,OUTPUTXBAR1,EPWM2_B,,GPIO227,,,,GPIO227,,,
24,A9/ B4/ C8/ GPIO227/ GPIO236,,,GPIO236,EPWM7_A,,,GPIO236,EQEP1_INDEX,,,GPIO236,EPWM12_A,,,GPIO236,,,
25,A10/ B1/ C10/ GPIO230,,,GPIO230,I2CB_SDA,,EPWM3_B,GPIO230,MCANA_RX,EPWM2_A,I2CA_SDA,GPIO230,PMBUSA_SCL,,,GPIO230,,,
26,VSS,VSS,VSS
27,A17/ B17/ C17/ GPIO20,GPIO20,myBoardLED0_GPIO,GPIO20,EQEP1_A,,,GPIO20,EPWM12_A,SPIB_PICO,,GPIO20,MCANA_TX,ADCE_EXTMUXSEL0,I2CA_SCL,GPIO20,,,SCIC_TX
28,A18/ B18/ C18/ GPIO21,,,GPIO21,EQEP1_B,,,GPIO21,EPWM12_B,SPIB_POCI,,GPIO21,MCANA_RX,ADCE_EXTMUXSEL1,I2CA_SDA,GPIO21,,,SCIC_RX
29,A19/ B19/ C19/ GPIO13,,,GPIO13,EPWM7_B,,MCANA_TX,GPIO13,EQEP1_INDEX,SCIB_RX,PMBUSA_ALERT,GPIO13,FSIRXA_CLK,LINA_RX,SPIA_POCI,GPIO13,,,
30,A20/ B20/ C20/ GPIO12,,,GPIO12,EPWM7_A,,MCANA_RX,GPIO12,EQEP1_STROBE,SCIB_TX,PMBUSA_CTL,GPIO12,FSIRXA_D0,LINA_TX,SPIA_CLK,GPIO12,,,
31,A24/ D0/ E0/ GPIO11,,,GPIO11,EPWM6_B,MCANA_RX,OUTPUTXBAR7,GPIO11,EQEP1_B,SCIB_RX,SPIA_PTE,GPIO11,FSIRXA_D1,LINA_RX,EQEP2_A,GPIO11,SPIA_PICO,,EQEP3_INDEX
32,B24/ D1/ E1/ GPIO33,,,GPIO33,I2CA_SCL,,SPIB_PTE,GPIO33,OUTPUTXBAR4,LINA_RX,,GPIO33,FSIRXA_CLK,MCANB_RX,EQEP2_B,GPIO33,ADCSOCAO,,SCIC_RX
33,C24/ D2/ E2/ GPIO16,,,GPIO16,SPIA_PICO,,OUTPUTXBAR7,GPIO16,EPWM9_A,SCIA_TX,,GPIO16,EQEP1_STROBE,PMBUSA_SCL,XCLKOUT,GPIO16,EQEP2_B,SPIB_POCI,EQEP3_STROBE
34,A25/ D3/ E3/ GPIO17,,,GPIO17,SPIA_POCI,,OUTPUTXBAR8,GPIO17,EPWM9_B,SCIA_RX,,GPIO17,EQEP1_INDEX,PMBUSA_SDA,MCANA_TX,GPIO17,,EPWM6_A,
35,B25/ D4/ E4/ GPIO24,,,GPIO24,OUTPUTXBAR1,EQEP2_A,SPIA_PTE,GPIO24,EPWM8_A,SPIB_PICO,,GPIO24,LINA_TX,PMBUSA_SCL,SCIA_TX,GPIO24,ERRORSTS,EPWM9_A,
36,TCK,TCK,TCK
37,GPIO37/TDO,,,GPIO37,OUTPUTXBAR2,SPIA_PTE,I2CA_SCL,GPIO37,SCIA_TX,MCANB_TX,LINA_TX,GPIO37,EQEP1_B,PMBUSA_ALERT,EPWM5_A,GPIO37,,,TDO
38,TMS,TMS,TMS
39,GPIO35/TDI,,,GPIO35,SCIA_RX,SPIA_POCI,I2CA_SDA,GPIO35,MCANB_RX,PMBUSA_SCL,LINA_RX,GPIO35,EQEP1_A,PMBUSA_CTL,EPWM5_B,GPIO35,,,TDI
40,GPIO32,,,GPIO32,I2CA_SDA,EQEP1_INDEX,SPIB_CLK,GPIO32,EPWM8_B,LINA_TX,,GPIO32,FSIRXA_D0,MCANB_TX,PMBUSA_SDA,GPIO32,ADCSOCBO,,
